,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,trending
45,Clp,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-12-15 12:18:35.000000,2025-12-15 12:18:22,2546.0,130.0,156.0,965.0,35.0,23,True,https://coin-or.github.io/Clp/,39.0,87.0,388.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,12.0,,conda-forge/coin-or-clp,241394.0,23345.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2025-08-02 12:22:52.938,1278322.0,3.0,,,,,,,
46,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-12-11 18:57:55.000000,2025-09-26 15:39:17,2660.0,166.0,23.0,515.0,23.0,23,True,https://matpower.org/doc/,29.0,56.0,205.0,2025-07-13 02:31:28.000,8.1,6.0,3.0,,,666967.0,7878.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-09-26 17:00:29.461721,3547.0,,,
47,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-12-17 09:55:56.799000,2025-09-25 13:24:15,629.0,38.0,14.0,496.0,11.0,23,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,151.0,49.0,2025-06-11 16:48:58.000,0.11.1,18.0,1.0,clarabel,conda-forge/clarabel,,2238031.0,93.0,50.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,2226329.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,304252.0,3.0,,,,,,,
48,PYPOWER,steady-state,"['gha', 'pypi', 'conda', 'python', 'non-profit']",,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47,2025-11-24 17:12:08.000000,2025-11-24 17:12:07,364.0,125.0,36.0,390.0,22.0,23,True,http://rwl.github.io/PYPOWER/index.html,23.0,49.0,15.0,2025-07-10 17:17:48.000,5.1.19,20.0,4.0,PYPOWER,invenia/pypower,,52933.0,175.0,155.0,https://pypi.org/project/PYPOWER,2025-07-10 17:17:48.000,20.0,52902.0,https://anaconda.org/invenia/pypower,2025-03-25 16:27:17.396,3202.0,2.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,27.0,,,
49,PowerSimulations.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2025-12-17 22:29:35.000000,2025-12-17 02:13:17,10660.0,78.0,97.0,300.0,49.0,23,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,19.0,995.0,389.0,2025-12-13 05:16:47.000,0.32.3,100.0,410.0,,,,,,,,,,,,,,2.0,,,,,,,
50,HELICS,msg,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c', 'lab']",,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-12-17 02:54:35.000000,2025-08-16 01:38:32,3574.0,50.0,94.0,153.0,39.0,23,True,https://docs.helics.org/en/latest/,14.0,2052.0,585.0,2025-02-28 08:41:58.000,3.6.1,106.0,,helics,conda-forge/helics,29813.0,5500.0,13.0,,https://pypi.org/project/helics,2025-02-28 08:41:58.000,13.0,4944.0,https://anaconda.org/conda-forge/helics,2025-04-22 14:56:53.590,21319.0,1.0,,,,,,,-1.0
51,DPsim,emt,"['gha', 'pypi', 'jupyter', 'python', 'c', 'university']",,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2025-12-16 16:01:14.000000,2025-12-16 15:55:18,4855.0,68.0,85.0,106.0,39.0,23,True,https://dpsim.fein-aachen.org/docs/,12.0,285.0,101.0,2025-12-10 15:23:09.000,1.2.1,10.0,87.0,dpsim,,,457.0,14.0,14.0,https://pypi.org/project/dpsim,2025-12-10 14:47:35.000,,457.0,,,,1.0,,,,,,,
52,Dynaωo,phasor,"['gha', 'modelica', 'for-profit']",,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2025-12-18 16:07:12.000000,2025-12-18 16:06:04,2610.0,30.0,235.0,98.0,60.0,23,True,https://dynawo.github.io/docs/,9.0,2270.0,1492.0,2025-07-18 14:42:06.000,1.7.0,20.0,66.0,,,19064.0,229.0,,,,,,,,,,1.0,,,,,,,
53,PyPowSyBl,steady-state,"['gha', 'pypi', 'python', 'java', 'jupyter', 'non-profit']",,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33,2025-12-18 15:18:52.000000,2025-12-10 07:46:06,828.0,16.0,93.0,78.0,38.0,23,True,https://pypowsybl.readthedocs.io/en/latest/,20.0,870.0,189.0,2025-10-31 11:48:04.000,1.13.0,49.0,44.0,pypowsybl,,386.0,9923.0,8.0,,https://pypi.org/project/pypowsybl,2025-10-31 11:48:04.000,8.0,9917.0,,,,2.0,,,,,,,4.0
54,Atlite,data,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-11-01 18:06:39.000000,2025-09-19 07:26:37,808.0,120.0,55.0,359.0,43.0,22,True,https://atlite.readthedocs.io/en/master/?badge=master,12.0,323.0,106.0,2025-05-12 15:07:01.000,0.4.1,21.0,,atlite,conda-forge/atlite,,6191.0,112.0,112.0,https://pypi.org/project/atlite,2025-05-12 15:07:01.000,,4491.0,https://anaconda.org/conda-forge/atlite,2025-08-11 07:32:40.796,112248.0,2.0,,,,,,,
55,LTB ANDES,phasor,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia', 'university']",,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2025-11-22 03:19:22.000000,2025-05-02 01:27:15,4622.0,135.0,16.0,315.0,26.0,22,True,https://docs.andes.app/en/latest/,13.0,289.0,65.0,2025-01-05 17:48:40.000,1.9.3,114.0,,andes,conda-forge/andes,,13171.0,32.0,28.0,https://pypi.org/project/andes,2025-01-05 17:48:40.000,4.0,2614.0,https://anaconda.org/conda-forge/andes,2025-04-22 14:57:03.796,707356.0,1.0,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,,
56,powerplantmatching,data,"['gha', 'pypi', 'conda', 'python', 'university']",,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-12-01 19:44:38.000000,2025-12-01 10:45:53,1007.0,69.0,25.0,205.0,36.0,22,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,163.0,86.0,2025-02-01 11:01:49.000,0.7.1,33.0,7.0,powerplantmatching,conda-forge/powerplantmatching,87.0,3199.0,85.0,85.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,1481.0,https://anaconda.org/conda-forge/powerplantmatching,2025-04-22 14:57:16.346,103092.0,2.0,,,,,,,
57,AMPLPY,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'for-profit']",,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2025-12-10 17:50:09.000000,2025-12-08 16:55:48,884.0,19.0,1.0,81.0,9.0,22,True,https://amplpy.readthedocs.io/en/latest/,10.0,7.0,49.0,2025-07-09 16:14:51.000,0.15.2,186.0,16.0,amplpy,conda-forge/amplpy,,58424.0,143.0,132.0,https://pypi.org/project/amplpy,2025-12-08 18:48:18.000,11.0,50642.0,https://anaconda.org/conda-forge/amplpy,2025-09-05 16:24:52.977,498096.0,3.0,,,,,,,-1.0
58,LightSim2Grid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/Grid2op/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2025-12-18 16:30:54.000000,2025-12-09 09:22:47,1008.0,12.0,18.0,59.0,7.0,22,True,https://lightsim2grid.readthedocs.io/en/latest/,1.0,58.0,39.0,2025-12-09 13:25:42.000,0.11.0,38.0,94.0,LightSim2Grid,,300.0,27646.0,94.0,70.0,https://pypi.org/project/LightSim2Grid,2025-12-09 13:25:42.000,24.0,27635.0,,,,2.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,433.0,,Grid2op/lightsim2grid,4.0
59,PyPSA-Eur,steady-state,"['gha', 'python', 'university']",,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2025-12-18 12:48:56.000000,2025-12-18 12:48:54,5679.0,353.0,214.0,505.0,104.0,21,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,18.0,1338.0,422.0,2025-07-11 15:14:12.000,2025.07.0,20.0,66.0,,,,,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,
60,PyPSA-Earth,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-earth,AGPL-3,Open optimisation model for study energy system futures.,https://github.com/pypsa-meets-earth/pypsa-earth,https://pypsa-meets-earth.github.io/,2021-02-28 19:26:35,2025-12-16 08:33:28.000000,2025-12-16 03:50:23,6364.0,281.0,205.0,313.0,87.0,21,True,https://pypsa-earth.readthedocs.io/,12.0,1004.0,383.0,2025-08-05 10:02:21.000,0.7.0,13.0,53.0,,,,,,,,,,,,,,2.0,,,,,,,
61,Gurobi OptiMods,steady-state,"['gha', 'python', 'for-profit']",,Gurobi/gurobi-optimods,Apache-2.0,Implemented optimization use cases using Gurobi.,https://github.com/Gurobi/gurobi-optimods,https://www.gurobi.com/features/gurobi-optimods/,2022-11-18 16:25:03,2025-11-25 03:20:28.000000,2025-11-25 03:14:14,714.0,38.0,25.0,173.0,17.0,21,True,https://gurobi-optimods.readthedocs.io/en/stable/,10.0,95.0,62.0,2025-11-25 03:13:53.000,3.0.0,14.0,24.0,gurobi-optimods,,,531.0,11.0,9.0,https://pypi.org/project/gurobi-optimods,2025-11-25 03:19:27.000,2.0,531.0,,,,2.0,,,,,,,
62,GridPath,steady-state,"['gha', 'python', 'for-profit']",,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28,2025-12-10 00:35:12.000000,2025-12-10 00:34:54,1632.0,63.0,47.0,123.0,13.0,21,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,12.0,970.0,294.0,2025-12-10 00:18:00.000,2025.10.3,41.0,27.0,GridPath,,1373.0,459.0,4.0,4.0,https://pypi.org/project/GridPath,2025-12-10 00:18:00.000,,439.0,,,,2.0,,,,,,,
63,PyOptInterface,opl,"['gha', 'pypi', 'jupyter', 'python', 'volunteer']",,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33,2025-12-11 16:25:12.000000,2025-12-11 16:22:55,450.0,20.0,7.0,298.0,2.0,20,True,https://metab0t.github.io/PyOptInterface/,7.0,3.0,31.0,2025-09-21 02:45:43.000,0.5.1,16.0,21.0,pyoptinterface,,,2346.0,27.0,21.0,https://pypi.org/project/pyoptinterface,2025-09-21 02:45:43.000,6.0,2346.0,,,,3.0,,,,,,,
64,SimBench,data,"['python', 'pypi', 'conda', 'juptyer', 'gha']",,e2nIEE/simbench,odbl-1.0,Benchmark dataset of German LV/MV/HV grids including 15min time series for 1 year.,https://github.com/e2nIEE/simbench,https://simbench.de/en/,2019-05-13 14:10:08,2025-10-23 15:12:59.000000,2025-10-23 15:12:46,165.0,33.0,5.0,123.0,5.0,20,True,https://simbench.readthedocs.io/en/stable/?badge=stable,6.0,27.0,32.0,2025-04-13 10:12:48.000,1.6.1,11.0,5.0,simbench,conda-forge/simbench,,9489.0,57.0,47.0,https://pypi.org/project/simbench,2025-04-13 10:12:48.000,10.0,9489.0,https://anaconda.org/conda-forge/simbench,,,3.0,,,,,,,
65,REopt,steady-state,"['gha', 'python', 'julia', 'lab']",,NREL/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NREL/REopt_API,https://www.nrel.gov/reopt/,2018-12-17 21:24:59,2025-12-16 17:43:33.000000,2025-12-16 17:37:46,5814.0,63.0,56.0,115.0,25.0,20,True,https://github.com/NREL/REopt_API/wiki,7.0,608.0,41.0,2025-12-16 17:43:33.000,3.17.4,70.0,272.0,,,574.0,8.0,,,,,,,,,,2.0,,,,,,,
66,OpenDSSDirect.py,intf,"['gha', 'pypi', 'python', 'jupyter', 'volunteer']",,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2024-03-29 06:05:46.000000,2024-03-29 05:10:43,451.0,25.0,19.0,103.0,3.0,20,True,https://dss-extensions.org/OpenDSSDirect.py/,12.0,31.0,93.0,2024-03-29 06:18:05.000,0.9.4,43.0,,OpenDSSDirect.py,,,15442.0,92.0,76.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,15442.0,,,,1.0,,,,,,,4.0
67,GridLAB-D,phasor,"['c', 'gha', 'lab']",,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21,2025-12-18 17:19:31.000000,2025-05-28 20:17:33,4426.0,122.0,352.0,192.0,76.0,19,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,24.0,183.0,1061.0,2025-01-07 00:39:44.000,5.3.0,7.0,,,,8145.0,87.0,,,,,,,,,,2.0,,,,,,,
68,PIQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r', 'university']",,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2025-12-10 15:48:17.000000,2025-09-23 07:53:30,561.0,18.0,5.0,129.0,5.0,19,True,https://predict-epfl.github.io/piqp/,8.0,16.0,14.0,2025-09-16 11:00:25.000,0.6.2,18.0,1.0,piqp,conda-forge/piqp,991.0,31750.0,58.0,49.0,https://pypi.org/project/piqp,2025-09-16 11:00:25.000,9.0,21862.0,https://anaconda.org/conda-forge/piqp,2025-11-11 15:08:20.511,275941.0,3.0,,,,,,,-1.0
69,dsgrid,dataman,"['gha', 'python', 'pypi', 'lab']",,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2025-12-17 21:17:28.000000,2025-12-13 01:29:03,1898.0,29.0,60.0,102.0,6.0,19,True,https://dsgrid.github.io/dsgrid,5.0,258.0,86.0,2025-10-17 16:05:59.000,0.2.0,7.0,84.0,dsgrid,,,57.0,,,https://pypi.org/project/dsgrid,2014-12-18 16:20:53.000,,57.0,,,,1.0,,,,,,,
70,TESP,steady-state,"['gha', 'python', 'jupyter', 'pypi', 'lab']",,pnnl/tesp,BSD-3,Transactive Energy Simulation Platform.,https://github.com/pnnl/tesp,https://github.com/pnnl/tesp,2017-03-28 16:41:17,2025-12-18 00:30:29.000000,2024-12-15 02:47:00,2165.0,41.0,33.0,47.0,26.0,19,True,https://tesp.readthedocs.io/en/latest/,15.0,64.0,96.0,2024-12-15 02:43:06.000,1.3.6,54.0,,tesp_support,,507.0,1435.0,2.0,2.0,https://pypi.org/project/tesp_support,2024-12-15 02:13:01.000,,1430.0,,,,2.0,,,,,,,
71,py-dss-interface,intf,"['gha', 'pypi', 'python', 'jupyter', 'non-profit']",,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2025-12-01 19:54:57.000000,2025-12-01 19:54:55,706.0,10.0,,40.0,7.0,19,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,48.0,56.0,2025-09-09 18:20:46.000,2.2.1,24.0,2.0,py-dss-interface,,31.0,8024.0,49.0,40.0,https://pypi.org/project/py-dss-interface,2025-09-09 18:16:36.000,9.0,8024.0,,,,1.0,,,,,,,
72,PowerModels.jl,steady-state,"['gha', 'julia', 'lab']",,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2025-12-01 21:25:09.000000,2025-12-01 21:21:10,1014.0,161.0,93.0,441.0,32.0,18,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,22.0,486.0,417.0,2025-08-12 01:35:46.000,0.21.5,80.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,
73,GenX,steady-state,"['julia', 'gha', 'university']",,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2025-12-11 16:21:50.000000,2025-07-11 15:52:09,1125.0,137.0,63.0,329.0,36.0,18,True,https://genxproject.github.io/GenX/dev/,16.0,561.0,257.0,2025-07-11 18:02:01.000,0.4.5,17.0,,,,,,,,,,,,,,,2.0,,,,,,GenXProject/GenX.jl,
74,PowSyBl Diagram,vis,"['gha', 'java', 'jupyter', 'for-profit']",,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2025-12-18 17:30:10.000000,2025-12-16 11:43:44,589.0,18.0,83.0,105.0,32.0,18,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,19.0,579.0,126.0,2025-12-11 10:07:21.000,5.2.0,55.0,29.0,,,,,32.0,32.0,,,,,,,,1.0,,,,,,,
75,openTEPES,steady-state,"['python', 'jupyter', 'gha', 'university']",,IIT-EnergySystemModels/openTEPES,AGPL-3,"Open Generation, Storage, and Transmission Operation and Expansion Planning Model.",https://github.com/IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,2020-07-24 21:11:41,2025-12-17 12:16:03.000000,2025-12-17 12:15:59,3153.0,26.0,3.0,50.0,10.0,18,True,https://opentepes.readthedocs.io/en/latest/index.html,4.0,86.0,12.0,2025-09-21 15:02:29.000,4.18.6,108.0,112.0,openTEPES,,120.0,461.0,,,https://pypi.org/project/openTEPES,2025-11-26 07:38:47.000,,459.0,,,,2.0,,,,,,,
76,PowerNetworkMatrices.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51,2025-12-08 03:28:54.000000,2025-12-08 02:57:16,1156.0,21.0,30.0,26.0,12.0,18,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,4.0,126.0,71.0,2025-12-08 03:21:48.000,0.17.0,35.0,103.0,,,,,,,,,,,,,,2.0,,,,,,,
77,RSOME,opl,"['gha', 'pypi', 'jupyter', 'python', 'university']",,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,59.0,7.0,341.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,rsome,,,2445.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,2445.0,,,,3.0,,,,,,,
78,PowerGenome,data,"['gha', 'pypi', 'conda', 'python']",,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2025-12-12 20:21:59.000000,2025-03-21 18:09:22,1824.0,73.0,92.0,222.0,18.0,17,True,https://github.com/PowerGenome/PowerGenome/wiki,18.0,249.0,99.0,2025-03-21 18:15:20.000,0.7.0,20.0,,PowerGenome,conda-forge/powergenome,,129.0,,,https://pypi.org/project/PowerGenome,2025-03-21 18:15:20.000,,71.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,1348.0,3.0,,,,,,,
79,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2025-11-03 22:50:06.000000,2025-10-06 16:39:44,1100.0,61.0,52.0,146.0,40.0,17,True,,13.0,246.0,38.0,2025-10-06 15:54:54.000,0.6.0,7.0,12.0,,,,,,,,,,,,,,3.0,,,,,,,
80,PyPSA-USA,steady-state,"['python', 'jupyter', 'university']",,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2025-12-15 18:46:08.000000,2025-09-11 16:42:22,2331.0,37.0,102.0,114.0,13.0,17,True,https://pypsa-usa.readthedocs.io/,7.0,341.0,274.0,2025-08-18 22:17:21.000,0.7.0,8.0,,,,,,,,,,,,,,,3.0,,,,,,,
81,OpenIPSL,phasor,"['gha', 'modelica', 'university']",,OpenIPSL/OpenIPSL,BSD-3,A Power System Library written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2025-10-22 15:16:01.000000,2025-10-22 15:16:01,1873.0,62.0,16.0,99.0,35.0,17,True,https://doc.openipsl.org,21.0,242.0,113.0,2022-06-23 13:05:59.000,3.0.1,15.0,3.0,,,504.0,4.0,,,,,,,,,,2.0,,,,,,,
82,CIMpy,intf,"['gha', 'python', 'non-profit']",,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,24.0,12.0,66.0,11.0,17,True,https://sogno.energy/cimpy/,3.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,9.0,,cimpy,,,1388.0,14.0,13.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,1388.0,,,,1.0,,,,,,,
83,MadNLP,ops,"['gha', 'julia', 'university']",,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2025-12-18 17:06:43.000000,2025-12-18 17:06:40,596.0,20.0,35.0,234.0,18.0,16,True,https://madnlp.github.io/MadNLP.jl/stable/,10.0,412.0,83.0,2025-09-08 08:18:58.000,0.8.12,30.0,39.0,,,,,,,,,,,,,,3.0,,,,,,,
84,PowerSimulationsDynamics.jl,phasor,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,2020-07-16 19:36:16,2025-11-10 14:47:32.000000,2025-11-10 05:50:54,2415.0,57.0,51.0,210.0,16.0,16,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,11.0,247.0,93.0,2025-07-09 18:08:11.000,0.15.0,42.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,
85,GasModels.jl,gasnet,"['gha', 'julia', 'lab']",,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2025-12-12 18:33:48.000000,2025-10-01 13:59:31,1124.0,19.0,48.0,78.0,16.0,16,True,https://lanl-ansi.github.io/GasModels.jl/latest/,9.0,126.0,118.0,2025-10-01 14:24:28.000,0.10.6,27.0,10.0,,,,,,,,,,,,,,3.0,,,,,,,
86,GridPACK,phasor,"['c', 'python', 'lab']",,GridOPTICS/GridPACK,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/markdown/LICENSE.md,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2025-12-04 14:54:54.000000,2025-11-24 20:13:24,3163.0,23.0,26.0,57.0,57.0,16,True,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/user_manual/GridPACK.pdf,15.0,108.0,111.0,2025-09-30 19:19:17.000,3.5,6.0,13.0,,,633.0,5.0,,,,,,,,,,2.0,,,,,,,
87,powerfactory-tools,intf,"['pypi', 'python', 'university', 'jupyter', 'gha']",,ieeh-tu-dresden/powerfactory-tools,BSD-3,Python toolbox for control of DIgSILENT PowerFactory.,https://github.com/ieeh-tu-dresden/powerfactory-tools,https://github.com/ieeh-tu-dresden/powerfactory-tools,2022-08-31 07:29:54,2025-12-11 09:31:29.000000,2025-12-03 08:59:22,154.0,7.0,18.0,42.0,4.0,16,True,,2.0,131.0,167.0,2025-12-03 08:59:32.000,3.3.1,24.0,6.0,ieeh-powerfactory-tools,,376.0,210.0,2.0,2.0,https://pypi.org/project/ieeh-powerfactory-tools,2025-12-03 08:59:27.000,,201.0,,,,2.0,,,,,,,
